date,year,month,week,category,brand,region,units_sold,avg_price,discount_pct,revenue
2022-01-03,2022,1,1,Smartphones,Apple,North America,117,844.12,0.055,93330.27
2022-01-03,2022,1,1,Smartphones,Apple,Europe,105,904.74,0.135,82173.23
2022-01-03,2022,1,1,Smartphones,Apple,Asia-Pacific,143,840.91,0.084,110149.19
2022-01-03,2022,1,1,Smartphones,Apple,Latin America,71,854.45,0.101,54538.39
2022-01-03,2022,1,1,Smartphones,Samsung,North America,129,853.76,0.13,95817.18
2022-01-03,2022,1,1,Smartphones,Samsung,Europe,93,843.31,0.118,69173.69
2022-01-03,2022,1,1,Smartphones,Samsung,Asia-Pacific,138,846.39,0.161,97996.15
2022-01-03,2022,1,1,Smartphones,Samsung,Latin America,63,820.62,0.031,50096.56
2022-01-03,2022,1,1,Smartphones,Google,North America,132,841.82,0.019,109008.77
2022-01-03,2022,1,1,Smartphones,Google,Europe,121,887.65,0.121,94409.43
2022-01-03,2022,1,1,Smartphones,Google,Asia-Pacific,146,798.51,0.107,104107.66
2022-01-03,2022,1,1,Smartphones,Google,Latin America,73,844.42,0.11,54862.28
2022-01-03,2022,1,1,Smartphones,OnePlus,North America,129,808.55,0.172,86363.0
2022-01-03,2022,1,1,Smartphones,OnePlus,Europe,84,825.2,0.009,68692.85
2022-01-03,2022,1,1,Smartphones,OnePlus,Asia-Pacific,139,877.83,0.016,120066.57
2022-01-03,2022,1,1,Smartphones,OnePlus,Latin America,66,865.6,0.056,53930.22
2022-01-03,2022,1,1,Laptops,Apple,North America,44,1068.44,0.074,43532.34
2022-01-03,2022,1,1,Laptops,Apple,Europe,41,1133.56,0.187,37785.01
2022-01-03,2022,1,1,Laptops,Apple,Asia-Pacific,49,1051.65,0.034,49778.78
2022-01-03,2022,1,1,Laptops,Apple,Latin America,26,1073.94,0.076,25800.39
2022-01-03,2022,1,1,Laptops,Dell,North America,56,1095.86,0.111,54556.43
2022-01-03,2022,1,1,Laptops,Dell,Europe,36,1022.4,0.155,31101.26
2022-01-03,2022,1,1,Laptops,Dell,Asia-Pacific,55,1111.14,0.063,57262.73
2022-01-03,2022,1,1,Laptops,Dell,Latin America,26,1130.1,0.189,23829.35
2022-01-03,2022,1,1,Laptops,HP,North America,51,1073.19,0.131,47562.54
2022-01-03,2022,1,1,Laptops,HP,Europe,32,1159.51,0.092,33690.68
2022-01-03,2022,1,1,Laptops,HP,Asia-Pacific,54,1132.97,0.112,54328.14
2022-01-03,2022,1,1,Laptops,HP,Latin America,25,1158.14,0.18,23741.77
2022-01-03,2022,1,1,Laptops,Lenovo,North America,44,1118.29,0.2,39363.93
2022-01-03,2022,1,1,Laptops,Lenovo,Europe,38,1098.85,0.009,41380.52
2022-01-03,2022,1,1,Laptops,Lenovo,Asia-Pacific,62,1139.31,0.158,59476.42
2022-01-03,2022,1,1,Laptops,Lenovo,Latin America,25,1107.49,0.076,25583.01
2022-01-03,2022,1,1,Laptops,Microsoft,North America,54,1098.68,0.194,47819.13
2022-01-03,2022,1,1,Laptops,Microsoft,Europe,41,1094.87,0.144,38425.51
2022-01-03,2022,1,1,Laptops,Microsoft,Asia-Pacific,51,1050.35,0.053,50728.67
2022-01-03,2022,1,1,Laptops,Microsoft,Latin America,25,1083.43,0.087,24729.26
2022-01-03,2022,1,1,Tablets,Apple,North America,28,637.63,0.175,14729.3
2022-01-03,2022,1,1,Tablets,Apple,Europe,33,649.12,0.036,20649.84
2022-01-03,2022,1,1,Tablets,Apple,Asia-Pacific,55,593.83,0.06,30701.19
2022-01-03,2022,1,1,Tablets,Apple,Latin America,19,593.96,0.031,10935.35
2022-01-03,2022,1,1,Tablets,Samsung,North America,40,589.22,0.156,19891.93
2022-01-03,2022,1,1,Tablets,Samsung,Europe,33,619.84,0.065,19125.19
2022-01-03,2022,1,1,Tablets,Samsung,Asia-Pacific,58,626.96,0.176,29963.9
2022-01-03,2022,1,1,Tablets,Samsung,Latin America,23,601.48,0.012,13667.97
2022-01-03,2022,1,1,Tablets,Lenovo,North America,48,578.31,0.017,27287.13
2022-01-03,2022,1,1,Tablets,Lenovo,Europe,32,620.83,0.152,16846.73
2022-01-03,2022,1,1,Tablets,Lenovo,Asia-Pacific,46,607.06,0.095,25272.04
2022-01-03,2022,1,1,Tablets,Lenovo,Latin America,19,614.01,0.174,9636.25
2022-01-03,2022,1,1,Tablets,Microsoft,North America,36,627.95,0.108,20164.59
